8 65
2.34, 8.67
1.01, 5.61
3.73, 6.55
3.24, 2.77
5.51, 8.29
8.67, 7.23
6.3, 5.5
7.17, 2.58
7.41, 3.0
6.79, 3.14
6.44, 2.68
6.98, 2.24
7.45, 2.12
6.63, 5.67
6.15, 6.13
5.77, 5.72
5.93, 5.1
6.46, 5.08
8.39, 7.5
7.94, 7.57
8.33, 8.11
8.33, 6.99
8.92, 6.76
9.35, 7.53
8.86, 7.72
6.0, 5.71
5.14, 9.17
6.0, 8.82
5.17, 8.6
5.19, 7.86
5.93, 8.06
5.61, 7.75
3.55, 2.83
2.63, 2.73
3.02, 3.32
2.99, 2.73
3.15, 2.0
3.6, 3.98
3.98, 6.81
3.59, 7.16
3.0, 7.01
3.34, 6.45
3.55, 5.86
4.23, 6.18
3.09, 6.2
2.6, 8.4
2.71, 8.92
2.07, 9.55
2.51, 9.55
2.04, 9.04
1.84, 8.5
2.27, 8.38
1.37, 5.61
0.69, 6.21
1.3, 6.52
1.06, 6.08
0.45, 5.28
1.22, 5.3
0.83, 5.03
3.92, 6.27
6.44, 6.65
6.65, 6.28
3.41, 3.39
3.99, 3.31
3.68, 2.26
