10 117
2.63, 8.46
0.84, 5.39
4.74, 6.8
2.92, 3.48
6.5, 8.61
9.03, 7.01
7.21, 5.32
1.29, 0.93
5.19, 3.14
8.55, 1.52
4.82, 6.0
5.63, 6.47
5.19, 7.25
5.31, 6.6
4.61, 7.51
4.13, 6.49
6.1, 8.77
5.94, 7.92
6.97, 7.75
6.42, 8.23
7.1, 8.53
6.35, 9.11
8.73, 7.68
8.71, 6.9
8.23, 7.25
8.61, 6.15
9.15, 6.47
9.63, 6.6
9.48, 7.53
9.13, 7.94
7.31, 4.91
6.58, 5.41
6.84, 4.78
7.06, 6.04
7.76, 5.74
7.73, 5.26
6.81, 5.71
8.18, 1.82
7.47, 2.75
8.55, 2.88
8.58, 2.32
7.97, 2.51
7.52, 1.23
8.52, 0.76
8.02, 1.15
9.06, 1.36
9.34, 2.03
4.84, 2.71
5.61, 2.34
6.23, 3.16
5.53, 3.4
5.84, 2.64
5.21, 3.74
4.84, 4.03
5.76, 4.44
4.82, 3.38
3.02, 2.99
2.11, 3.31
2.27, 4.09
3.13, 4.5
3.76, 3.68
2.71, 3.66
2.89, 3.98
3.77, 3.1
2.71, 2.97
1.74, 0.95
1.42, 1.62
0.66, 1.62
0.68, 0.76
1.42, 0.35
2.0, 0.43
1.02, 1.36
0.94, 4.48
0.53, 4.96
0.31, 5.52
0.47, 6.3
1.74, 5.89
0.84, 6.02
0.87, 6.54
1.27, 6.19
1.32, 5.3
1.15, 4.94
2.92, 7.86
2.08, 8.05
2.42, 9.09
1.55, 9.0
2.15, 8.72
2.26, 8.46
1.94, 9.42
2.94, 9.46
3.45, 9.29
3.53, 8.46
2.9, 8.94
2.98, 8.42
2.35, 7.81
4.61, 6.36
4.35, 7.1
4.08, 6.04
5.37, 6.04
4.9, 6.58
6.44, 7.66
6.82, 8.29
6.74, 9.31
9.26, 7.25
9.55, 6.23
9.1, 5.58
7.55, 1.8
8.13, 3.25
7.71, 3.53
6.03, 3.77
5.45, 4.81
7.32, 6.32
7.63, 4.42
8.06, 5.11
1.98, 1.71
1.42, 2.42
2.65, 0.84
